id_equipo,nombre_equipo,nombre_liga,nivel_liga,nombre_nacionalidad,valoracion_general,ataque,mediocampo,defensa,estadio_local,prestigio_internacional,prestigio_domestico,presupuesto_fichajes_eur,valor_club_eur,edad_promedio_titulares,edad_promedio_equipo,capitan,tiro_libre_corto,tiro_libre_largo,tiro_libre_corto_izquierda,tiro_libre_corto_derecha,penales,corner_izquierdo,corner_derecho,estilo_defensivo,ancho_equipo_defensivo,profundidad_equipo_defensivo,presion_defensiva,agresividad_defensiva,ancho_defensivo,linea_defensiva,estilo_ofensivo,construccion_juego,creacion_oportunidades,ancho_equipo_ofensivo,jugadores_en_el_area,tactica_corners,tactica_tiros_libres,velocidad_construccion,regate_construccion,pase_construccion,posicionamiento_construccion,pase_creacion_oportunidades,centros_creacion_oportunidades,remates_creacion_oportunidades,posicionamiento_creacion_oportunidades
10,Manchester City,Premier League,1.0,England,85,85,86,86,Etihad Stadium,10,10.0,,-2147483648.0,27.09,25.88,186942.0,192985.0,192985.0,192985.0,192985.0,192985.0,192985.0,237692.0,Press After Possession Loss,71.0,81.0,,,,,,Slow Build Up,Possession,71.0,6.0,3.0,3.0,,,,,,,,
73,Paris Saint Germain,Ligue 1,1.0,France,85,87,83,83,Parc des Princes,9,10.0,,-2147483648.0,26.82,26.04,207865.0,190871.0,158023.0,190871.0,158023.0,190871.0,190871.0,190871.0,Press After Possession Loss,61.0,71.0,,,,,,Slow Build Up,Possession,41.0,8.0,3.0,3.0,,,,,,,,
243,Real Madrid,La Liga,1.0,Spain,85,85,86,84,Estadio Santiago Bernabéu,10,10.0,,-2147483648.0,28.55,24.64,165153.0,182521.0,182521.0,182521.0,197445.0,165153.0,182521.0,182521.0,Balanced,51.0,71.0,,,,,,Balanced,Balanced,51.0,6.0,3.0,3.0,,,,,,,,
1337,Germany,Friendly International,,Germany,85,82,85,82,Stadion Olympik,10,,,,28.27,27.22,167495.0,186942.0,212622.0,186942.0,186942.0,186942.0,212622.0,212622.0,Pressure On Heavy Touch,61.0,61.0,,,,,,Fast Build Up,Forward Runs,61.0,6.0,3.0,3.0,,,,,,,,
5,Chelsea,Premier League,1.0,England,84,83,83,83,Stamford Bridge,8,9.0,,-2147483648.0,26.73,24.55,205498.0,233064.0,233064.0,233064.0,233064.0,205498.0,233064.0,233064.0,Balanced,61.0,71.0,,,,,,Slow Build Up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
9,Liverpool,Premier League,1.0,England,84,84,82,86,Anfield,9,9.0,,-2147483648.0,26.73,25.03,203376.0,231281.0,231281.0,231281.0,231281.0,209331.0,216267.0,231281.0,Press After Possession Loss,61.0,71.0,,,,,,Balanced,Balanced,71.0,5.0,3.0,3.0,,,,,,,,
21,FC Bayern München,Bundesliga,1.0,Germany,84,78,86,83,Sanderson Park (FIFA 13 NEW generic),10,10.0,,-2147483648.0,26.09,25.04,212622.0,212622.0,212622.0,208722.0,212622.0,208722.0,212622.0,212622.0,Pressure On Heavy Touch,41.0,81.0,,,,,,Slow Build Up,Possession,81.0,8.0,3.0,3.0,,,,,,,,
241,FC Barcelona,La Liga,1.0,Spain,84,84,85,82,El Libertador (La Bombastico),10,10.0,,-2147483648.0,26.36,23.55,189511.0,188545.0,251854.0,188545.0,188545.0,188545.0,231443.0,231443.0,Balanced,61.0,81.0,,,,,,Slow Build Up,Possession,51.0,7.0,3.0,3.0,,,,,,,,
1318,England,Friendly International,,England,84,85,83,83,Wembley Stadium,8,,,,26.55,25.91,202126.0,233064.0,202126.0,233064.0,233064.0,202126.0,237692.0,233064.0,Balanced,61.0,61.0,,,,,,Slow Build Up,Possession,71.0,4.0,3.0,3.0,,,,,,,,
44,Inter,Serie A,1.0,Italy,83,85,83,83,San Siro,7,9.0,,949000000.0,27.45,27.25,232363.0,208128.0,208128.0,208128.0,208128.0,231478.0,208128.0,208128.0,Balanced,51.0,61.0,,,,,,Fast Build Up,Forward Runs,51.0,4.0,3.0,3.0,,,,,,,,
